"T","k","bid_imp_vol","ask_imp_vol","mid_imp_vol","pade72","pade63","pade54","pade33"
0.5,-0.131942969586176,0.21588,0.21887,0.21738,0.219159722425994,0.217927098372052,0.218754410841526,0.217941403486798
0.5,-0.105274722504015,0.20618,0.20894,0.20756,0.207819342711142,0.206771493056001,0.207383036711391,0.206845402815522
0.5,-0.079299236100754,0.19522,0.19769,0.19646,0.196315646269607,0.19549429426461,0.195886492827228,0.195590853789145
0.5,-0.0539814281164641,0.18351,0.18586,0.18469,0.184661746123239,0.184105038741042,0.184288621046949,0.184189677336623
0.5,-0.0292888155260926,0.17137,0.17348,0.17243,0.172914862731022,0.1726561785727,0.172654986479804,0.172690749266669
0.5,-0.00519126394703211,0.15882,0.16094,0.15988,0.16122519979779,0.161259770491759,0.161128640273254,0.161220431426208
0.5,0.018339233463162,0.14676,0.14803,0.14739,0.149912238219534,0.150169730284961,0.149998068908009,0.150055289366993
0.5,0.0413287516878607,0.13584,0.13701,0.13643,0.139524340728182,0.139856934646026,0.139767527678864,0.139701962569611
0.5,0.0638016075399194,0.12709,0.12835,0.12772,0.130777955153929,0.131006836989864,0.131124854186518,0.130895972350583
0.5,0.0857805142586946,0.12148,0.12279,0.12213,0.124250054458194,0.124296546081118,0.124672055343199,0.12434899816852
0.5,0.107286719479658,0.11885,0.12046,0.11966,0.120055079558943,0.120000243285751,0.120528340438455,0.12034714231834
0.5,0.12834012867749,0.11856,0.12056,0.11957,0.117862820724127,0.117872357467291,0.118331313232056,0.118634104827512
0.99603,-0.131942969586176,0.20743,0.2111,0.20927,0.207849145033529,0.206934809782684,0.207442641356165,0.207031369307219
0.99603,-0.105274722504015,0.20084,0.2043,0.20257,0.199548602202192,0.198808312514089,0.199156403639573,0.198916792967579
0.99603,-0.079299236100754,0.19351,0.19676,0.19514,0.191249251463749,0.190703272917612,0.190898776152473,0.190805792906625
0.99603,-0.0539814281164641,0.18558,0.18872,0.18715,0.182973742583217,0.182635188200896,0.182690024474089,0.182715058424894
0.99603,-0.0292888155260926,0.17725,0.1802,0.17873,0.17476022253325,0.174635052779223,0.174569487669971,0.174677968123461
0.99603,-0.00519126394703211,0.16854,0.17159,0.17006,0.166675448515997,0.166757702925786,0.166600346663581,0.166752934554204
0.99603,0.018339233463162,0.15966,0.16228,0.16097,0.158827900984947,0.159084200957479,0.158876776793663,0.159030556777182
0.99603,0.0413287516878607,0.15099,0.15354,0.15226,0.151364207366248,0.151738524535433,0.151533484557408,0.151647925475376
0.99603,0.0638016075399194,0.1431,0.14565,0.14437,0.144473910430281,0.144891142943705,0.144743323424663,0.144785046676006
0.99603,0.0857805142586946,0.13647,0.13925,0.13786,0.138358473876387,0.13873636732426,0.13870179663029,0.13865411291447
0.99603,0.107286719479658,0.13162,0.1349,0.13327,0.133181214431249,0.133464932540377,0.133575797179658,0.133454203704317
0.99603,0.12834012867749,0.12844,0.13199,0.13022,0.129031539062028,0.129204392531874,0.129464268783093,0.129322409728529
1.49206,-0.131942969586176,0.19698,0.20213,0.19956,0.20354807386658,0.202817320921641,0.20317494879029,0.202940106489877
1.49206,-0.105274722504015,0.19227,0.19722,0.19475,0.196723342039866,0.196149945357133,0.196377635100172,0.196272730925369
1.49206,-0.079299236100754,0.18699,0.19175,0.18938,0.189946293928972,0.189539790251608,0.189647078612203,0.18965303907668
1.49206,-0.0539814281164641,0.18132,0.18593,0.18362,0.183233618834435,0.183002352812709,0.182998776534022,0.183094143965662
1.49206,-0.0292888155260926,0.17585,0.17946,0.17765,0.176612734892851,0.176555514433867,0.176456570723541,0.176617503264433
1.49206,-0.00519126394703211,0.16963,0.17306,0.17135,0.170119404891084,0.17022907743747,0.170055031874728,0.170256495574066
1.49206,0.018339233463162,0.16331,0.16662,0.16497,0.163806080916538,0.164063572981965,0.163839459517612,0.164055228331697
1.49206,0.0413287516878607,0.15703,0.16031,0.15867,0.15773952017136,0.158113837340545,0.157870650389864,0.158074498274994
1.49206,0.0638016075399194,0.15111,0.15431,0.15271,0.152005553344024,0.152452588179835,0.1522237063439,0.152392983535061
1.49206,0.0857805142586946,0.14575,0.14899,0.14737,0.146690011123008,0.14716327200252,0.1469832659753,0.147100091079059
1.49206,0.107286719479658,0.14123,0.14452,0.14288,0.141883492568369,0.142331719497075,0.142232775786749,0.142291188338628
1.49206,0.12834012867749,0.13764,0.1411,0.13937,0.137652754882254,0.138042569259081,0.138043761351976,0.13804018507329
1.9881,-0.131942969586176,0.18145,0.20596,0.19379,0.201292634108302,0.200688243010286,0.200950503447295,0.200828909971954
1.9881,-0.105274722504015,0.1784,0.20163,0.19006,0.195381045439538,0.194919705488981,0.195072293379604,0.195056796171963
1.9881,-0.079299236100754,0.17483,0.19703,0.18596,0.189536213972922,0.189223885634302,0.189272761443017,0.189349055388329
1.9881,-0.0539814281164641,0.17087,0.19227,0.18158,0.183768868544512,0.183607936003621,0.183565020659383,0.183715224364215
1.9881,-0.0292888155260926,0.16657,0.18738,0.17697,0.178098082640638,0.178087353804579,0.177963376143447,0.178169608214368
1.9881,-0.00519126394703211,0.16203,0.18245,0.17224,0.172545313933419,0.172677636244819,0.172488093474435,0.172733664610907
1.9881,0.018339233463162,0.15727,0.17751,0.16739,0.167141556838136,0.16740500936804,0.167166590788941,0.167432427504637
1.9881,0.0413287516878607,0.15238,0.17263,0.16251,0.161924958327446,0.162298083403736,0.162033438780936,0.162299275496631
1.9881,0.0638016075399194,0.1475,0.16803,0.15779,0.156942010024273,0.157396197417457,0.157126784423075,0.157378316024024
1.9881,0.0857805142586946,0.1446,0.16251,0.15359,0.152240395644437,0.152743458846336,0.152494311431178,0.15271604070974
1.9881,0.107286719479658,0.14209,0.15671,0.14945,0.147868990996654,0.148387551406194,0.148182511428169,0.148369670012762
1.9881,0.12834012867749,0.13835,0.15379,0.14614,0.143875479796742,0.14437377462706,0.144231915572496,0.144372582534164
