T,k,bid_imp_vol,ask_imp_vol,mid_imp_vol,pade72,pade63,pade54,pade33
0.0952381,-0.095483718,0.28026,0.34911,0.3165,0.317382217,0.317665935,0.317341685,0.317091346
0.0952381,-0.051031956,0.27456,0.32281,0.29898,0.293378234,0.29317081,0.292958617,0.292913318
0.0952381,-0.008472341,0.26756,0.29739,0.28248,0.269132257,0.269154906,0.269035697,0.269107223
0.0952381,0.032349653,0.24106,0.27339,0.25731,0.247629285,0.24761498,0.247560144,0.247449279
0.0952381,0.071570366,0.22894,0.24465,0.23692,0.232084394,0.231943727,0.232004523,0.231340528
0.0952381,0.109310694,0.21094,0.23156,0.22187,0.224667192,0.224260688,0.224532485,0.223476291
0.0952381,0.145678338,0.21656,0.23345,0.2257,0.223641992,0.22313416,0.223593116,0.222861171
0.5039683,-0.095483718,0.26134,0.2822,0.27182,0.282414556,0.282354951,0.282281041,0.282527804
0.5039683,-0.051031956,0.25167,0.27041,0.26105,0.268236995,0.268146396,0.268096328,0.26843369
0.5039683,-0.008472341,0.24112,0.25879,0.24995,0.254794955,0.254732967,0.254690051,0.255019069
0.5039683,0.032349653,0.22969,0.2473,0.23849,0.242545009,0.242564082,0.242519975,0.242697597
0.5039683,0.071570366,0.21727,0.23598,0.22666,0.232114196,0.232198835,0.232163072,0.232031942
0.5039683,0.109310694,0.20751,0.2264,0.21706,0.224099755,0.224140287,0.224147439,0.2235955
0.5039683,0.145678338,0.19942,0.21669,0.20822,0.218750835,0.218610168,0.218705535,0.217720866
1.2539683,-0.095483718,0.2524,0.26482,0.25862,0.26368916,0.263476968,0.263511539,0.264020562
1.2539683,-0.051031956,0.24564,0.25733,0.25148,0.25349915,0.253331065,0.25336206,0.253883004
1.2539683,-0.008472341,0.23834,0.24959,0.24396,0.243926644,0.243843198,0.243863463,0.24432838
1.2539683,0.032349653,0.23086,0.24195,0.23641,0.235148072,0.235176683,0.235183835,0.235511661
1.2539683,0.071570366,0.22286,0.23409,0.22848,0.227379203,0.227511525,0.227511525,0.227620006
1.2539683,0.109310694,0.21516,0.22684,0.22101,0.22082746,0.221012235,0.221017003,0.220836997
1.2539683,0.145678338,0.20763,0.22014,0.21392,0.215634704,0.215783715,0.215815902,0.215303302
1.75,-0.095483718,0.24907,0.25948,0.25429,0.256572366,0.256323218,0.256397128,0.256986022
1.75,-0.051031956,0.2437,0.25358,0.24864,0.247605443,0.247420669,0.247487426,0.248065591
1.75,-0.008472341,0.23768,0.24723,0.24246,0.239198804,0.239111781,0.239165425,0.239675641
1.75,0.032349653,0.2316,0.24101,0.2363,0.231471658,0.23150146,0.231540799,0.231921077
1.75,0.071570366,0.22542,0.23485,0.23014,0.224564672,0.224704146,0.224733949,0.224919915
1.75,0.109310694,0.21895,0.22858,0.22377,0.21861136,0.21882236,0.21885097,0.218787789
1.75,0.145678338,0.2127,0.22273,0.21773,0.213710666,0.21392405,0.213966966,0.213617683
